province,city_name,year,nom_gdp,real_gdp,所属地域,金融发展水平,信贷转化率,人口密度,第二产业占GDP比重,产业结构,产业整体升级,产业结构高级化,碳排放量_吨,碳排放强度_名义GDP,人均道路面积_平方米,treat,post,did,ln_real_gdp,ln_人口密度,ln_金融发展水平,ln_碳排放量_吨,ln_碳排放强度_名义GDP
黑龙江省,七台河市,2007,135.16,125.793,中部,1.79263462797658,0.753989175751612,143.884102234367,0.517841517925262,0.379735052585602,2.27731156349182,0.733303546905518,6910285.5,51126.70538620894,9.63,0,0,0,4.834637698838989,4.96900812991922,0.5836863969343893,15.74852151182231,10.84206224997622
黑龙江省,七台河市,2008,187.16,158.625,中部,1.46345852481255,0.48805175001456,144.992766436264,0.587606847286224,0.319444447755814,2.22649574279785,0.543636381626129,12580560.0,67218.20901902116,9.57,0,0,0,5.066542926034551,4.976683854529739,0.3808024870232857,16.34766332334914,11.11569945735112
黑龙江省,七台河市,2009,233.63,199.8675,中部,1.48913563632846,0.541212843422527,149.17215881691,0.63334846496582,0.281985938549042,2.19732022285461,0.445230305194855,12454052.0,53306.73286821042,9.27,0,0,0,5.297654646997938,5.005101067253315,0.3981958417818769,16.33755658977116,10.8838179224053
黑龙江省,七台河市,2010,305.22,250.0542,中部,1.38190219173675,0.537413379105227,147.942783670845,0.661737620830536,0.264835923910141,2.19140958786011,0.40021288394928,12563532.0,41162.21741694515,10.97,0,0,0,5.521677694364523,4.996825602197685,0.323460949857414,16.34630888966323,10.62527606160051
黑龙江省,七台河市,2011,308.06,263.3321,中部,1.53750093326278,0.579058232351595,148.947114611799,0.411039918661118,0.426696240901947,2.26443243026733,1.03808963298798,13039837.0,42328.88722976044,11.58,0,0,0,5.573415973237686,5.003591307449667,0.4301583276985338,16.38351961438466,10.65322504518834
黑龙江省,七台河市,2012,298.91,285.2939,中部,1.72216544148519,0.588520351238391,148.472110593152,0.582206010818481,0.315507352352142,2.21322059631348,0.541917026042938,12821138.0,42892.9711284333,12.02,0,0,0,5.653519876988424,5.000397133151204,0.5435824765852646,16.3666057730679,10.66646324833229
黑龙江省,七台河市,2013,228.61,244.6681,中部,2.27011103858569,0.831243674485442,147.886191930558,0.462885975837708,0.405559509992599,2.27400493621826,0.87615430355072,12622918.0,55215.94855868072,12.02,0,0,0,5.499902598239872,4.996443004510205,0.8198287459734941,16.35102460863531,10.91900711369943
黑龙江省,七台河市,2014,214.26,250.5157,中部,2.59966815863044,0.951137175101163,141.817553447999,0.406906187534332,0.447036892175674,2.30051326751709,1.09862387180328,11922838.0,55646.58825725754,11.88,0,0,0,5.523521593211644,4.954541396620004,0.9553838055858849,16.29396627851153,10.92677604767712
黑龙江省,七台河市,2015,190.09,260.6866,中部,2.84237825738356,1.08852700310132,133.59508117666,0.367653965950012,0.471086025238037,2.30935573577881,1.28132998943329,11071432.0,58243.10589720659,12.05,0,0,0,5.56331891954171,4.894813442884793,1.044641116308835,16.21987865494564,10.97238101072757
黑龙江省,七台河市,2016,193.54,261.7293,中部,3.13629897148006,1.24095302190625,128.805979746022,0.365189284086227,0.487996280193329,2.34118175506592,1.3362832069397,10854361.0,56083.29544280253,11.88,0,0,0,5.567310763528858,4.858307239192122,1.143043433237428,16.20007749268019,10.93459328322739
黑龙江省,七台河市,2017,204.42,277.1714,中部,3.03755680825031,1.08483787799336,126.353158656165,0.373688817024231,0.49606642127037,2.36625862121582,1.32748532295227,11084470.0,54223.99960864886,11.88,0,0,0,5.624636087389708,4.839080832779068,1.11105351079641,16.22105558753046,10.90087888662953
黑龙江省,七台河市,2018,225.54,292.4158,中部,2.77394419592387,0.984999149108881,125.525040387722,0.398721545934677,0.477826595306396,2.3543746471405,1.19839668273926,11398053.0,50536.72519287044,11.642,0,0,0,5.67817676198347,4.832505263671142,1.020270204864003,16.24895310930486,10.83045558250071
黑龙江省,七台河市,2019,219.12,293.2931,中部,3.15632943722944,0.962010822510822,124.394184168013,0.412615299224854,0.444118678569794,2.30085253715515,1.07635056972504,11282686.0,51490.89996349032,11.692,0,0,0,5.681172450306065,4.823455428151226,1.149409781955928,16.23877989625536,10.84916037130054
黑龙江省,七台河市,2020,204.37,286.254,中部,4.09321844660194,1.16494805825243,111.40549273021,0.38353556394577,0.441997498273849,2.26753067970276,1.15242898464203,11128596.0,54453.17805940206,11.692,0,0,0,5.656879528569943,4.713176632652979,1.40933156686595,16.22502856974215,10.9050964932217
